,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
6024,ALLCASH (T195) (Retired),IRE,,Bay , Gelding,PP,1550975,0,3,4,25,Danehill Dancer,Mowaadah,Alzao
6025,BOTH LUCKY (T196) (Retired),IRE,,Bay , Gelding,PP,2106750,2,0,3,25,Rock Of Gibraltar,Star Studded,Cadeaux Genereux
6026,RENAISSANCE ART (T197) (Retired),USA,,Brown , Gelding,PP,4218950,4,1,2,31,More Than Ready,Lady Siphonica,Siphon
6027,ANTICIPATION (T198) (Retired),IRE,,Bay , Gelding,PP,4082800,1,5,3,32,Fastnet Rock,Small Sacrifice,Sadler's Wells
6028,TOP ACE (T199) (Retired),USA,,Chestnut , Gelding,PP,1468500,1,1,3,36,Kitten's Joy,Steaming Home,Salt Lake
6029,HIGH FIVE (T200),AUS,8,Bay , Gelding,PP,7163500,5,3,4,50,Time Thief,Stand By Your Man,Nuclear Freeze
6030,ARGENTUM (T201) (Retired),NZ,,Grey , Gelding,PP,1788800,2,3,2,28,Indy King,Foxy Boss,Oregon
6031,WINGOLD (T202) (Retired),NZ,,Brown , Gelding,PP,1111700,1,2,2,31,Duporth,Flying Babe,Flying Spur
6032,ATOMIC BLAST (T203) (Retired),NZ,,Bay , Gelding,PPG,1056750,2,1,1,26,Alamosa,Effloresce,Montjeu
6033,ELITE BLUE (T204) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,2,Alamosa,Shezasweetie,King Of Kings
6034,OCTAL LUCK (T205) (Retired),NZ,,Bay , Gelding,PPG,690800,1,0,3,19,Bachelor Duke,Lim's Rainbow,Rory's Jester
6035,WONDERFUL COUPLES (T206) (Retired),GB,,Bay , Gelding,PP,0,0,0,0,5,Sakhee's Secret,Coffee Time,Efisio
6036,LOVE CHUNGHWA (T207) (Retired),IRE,,Bay , Gelding,PP,2910200,2,6,3,47,Elusive City,Lucky Norwegian,Almutawakel
6037,NEW SPEED AHEAD (T208) (Deregistered),GB,,Bay , Gelding,PP,0,0,0,0,10,Myboycharlie,Native Ring,Bering
6038,TRAVEL COMFORTS (T209) (Retired),SAF,,Bay , Gelding,PP,2889200,4,1,1,19,Goldkeeper,Colchium,Elnadim
6039,PEACE N PROSPERITY (T210) (Retired),AUS,,Bay , Gelding,PP,3982350,3,5,3,41,Valixir,Suzy Rocks,Rock Of Gibraltar
6040,LUCKY BUBBLES (T211) (Retired),AUS,,Chestnut , Gelding,PP,30483550,7,7,2,25,Sebring,Bubble Below,Hussonet
6041,TRAVEL NUMBER ONE (T212) (Retired),AUS,,Bay , Gelding,PP,871600,1,0,3,19,Purrealist,Puzzles,Redoute's Choice
6042,SUPER MAN (T213) (Retired),AUS,,Bay , Gelding,PP,4718675,4,4,8,42,Tale Of The Cat,Santoya,College Chapel
6043,LIGHTNING PEGASUS (T214) (Retired),AUS,,Bay , Gelding,PPG,1597200,3,1,0,15,Floral Pegasus,Brazilian Choice,Tale Of The Cat
6044,FLORAL SPUR (T215) (Retired),AUS,,Chestnut , Gelding,PPG,92000,0,0,1,5,Floral Pegasus,Yoobabe,Flying Spur
6045,MOLLY'S JADE STAR (T216) (Deregistered),AUS,,Chestnut , Gelding,PPG,4485550,4,9,1,24,Magic Albert,Grand Bird,Catbird
6046,HAPPY CHAPPY (T217) (Deregistered),AUS,,Chestnut , Gelding,PPG,1577950,2,1,2,10,Sebring,Countess Dehere,Dehere
6047,GIANT STARS (T218) (Retired),FR,,Bay , Gelding,PP,862700,0,2,2,20,Footstepsinthesand,Colca,Desert Style
6048,CIRCUIT LAND (T219) (Retired),USA,,Dark Bay , Gelding,PP,9578950,4,6,5,28,Mizzen Mast,Storm Dove,Storm Bird
6049,BEST EFFORT (T220) (Retired),GB,,Grey , Gelding,PP,2433900,3,4,4,45,Cape Cross,Chinese White,Dalakhani
6050,WINNING STAR (T221) (Retired),IRE,,Bay , Gelding,PP,0,0,0,0,9,War Chant,Morena Park,Pivotal
6051,OBLITERATOR (T222) (Retired),IRE,,Bay , Gelding,PP,496500,0,0,2,13,Oratorio,Faraday Light,Rainbow Quest
