,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
0,BURST AWAY (A001) (Retired),AUS,,Bay , Gelding,PP,493000,0,2,1,15,Bel Esprit,Filly Of Choice,End Sweep
1,PRAWN BABA (A002) (Retired),AUS,,Brown , Gelding,PP,7839875,4,6,1,31,Duke Of Marmalade,Countess Of Tiba,Second Empire
2,WHO DAT SINGA (A003) (Retired),NZ,,Bay , Gelding,PP,308350,0,0,1,12,Iffraaj,Singadablues,Danasinga
3,THE JAZZ (A004) (Retired),NZ,,Bay , Gelding,PP,367425,0,1,1,12,O'Reilly,Frockstar,Pins
4,RED ELYSEES (A005),GB,7,Chestnut , Gelding,PPG,4362325,3,7,6,42,Champs Elysees,Red Boots,Verglas
5,ALL YOU NEED (A006) (Retired),AUS,,Bay , Gelding,PPG,1811500,2,1,4,26,Danerich,Metung Belle,Viscount
6,BOND ELEGANCE (A007) (Retired),AUS,,Bay , Gelding,PPG,3238875,3,4,4,45,Hard Spun,La Italia,Stravinsky
7,MONEY BOY (A008) (Retired),AUS,,Bay , Gelding,PPG,5686025,3,9,7,40,Hinchinbrook,Kianben,Jan Murray
8,POWERMAX (A009) (Retired),AUS,,Bay , Gelding,PPG,5015655,5,5,3,33,Magnus,Gypsy Marauder,Marauding
9,GRADE ONE (A010),AUS,6,Brown , Gelding,PPG,4430240,5,3,5,31,Manhattan Rain,Zipanese,Bellotto
10,HAPPY HAPPY STAR (A011) (Retired),AUS,,Brown , Gelding,PPG,1722015,2,1,2,28,O'Reilly,Classy Fashion,Fusaichi Pegasus
11,KWAICHUNG BROTHERS (A012),AUS,7,Bay , Gelding,PPG,1574950,2,1,5,38,Racer's Edge,Shezgonewest,Mugharreb
12,OCEAN ELITE (A013) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,6,Snippetson,Exselva,Exceed And Excel
13,FAIR COMMENT (A014) (Retired),AUS,,Bay , Gelding,PPG,237300,0,1,0,18,So You Think,Dariana,Redoute's Choice
14,GOLDINGTON HORN (A015) (Retired),AUS,,Chestnut , Gelding,PPG,145200,0,1,0,8,Turffontein,Allapattah,Umatilla
15,GREAT MO (A016) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Uncle Mo,Madison Park,Perugino
16,DON'T MISS (A017) (Retired),AUS,,Bay , Gelding,PPG,3129050,4,2,1,14,Wanted,Paralegal,O'Reilly
17,TELECOM TITAN (A018) (Retired),AUS,,Chestnut , Gelding,PPG,122100,0,0,1,13,Written Tycoon,Sun 'N' Soda,Desert Sun
18,STAR OF HONG KONG (A019) (Retired),JPN,,Dark Bay , Gelding,PPG,0,0,0,0,5,Heart's Cry,Crime,Gulch
19,ELEGANCE PROMISE (A020) (Retired),JPN,,Dark Bay , Gelding,PPG,59500,0,0,0,9,Kane Hekili,Eureka Chan,Gold Allure
20,LUCKY DOLLAR (A021) (Retired),AUS,,Bay , Gelding,PP,1571950,1,2,1,17,All American,Lodore Falls,Redoute's Choice
21,MOST BEAUTIFUL (A022),AUS,7,Brown , Gelding,PP,5321025,3,6,6,50,Blackfriars,Line Of Flight,Bletchley Park
22,APPLAUSE (A023) (Retired),AUS,,Chestnut , Gelding,PP,2307400,3,2,2,32,Lope de Vega,Isola Di Capri,Galileo
23,KEEN VENTURE (A024) (Retired),AUS,,Chestnut , Gelding,PP,3643650,1,4,0,23,Sebring,Morning Dews,Peintre Celebre
24,WINNER'S WAY (A025) (Retired),AUS,,Chestnut , Gelding,PP,14518350,6,5,3,38,Starcraft,Sunday Service,Sunday Silence
25,CATCHMEIFYOUCAN (A026) (Retired),AUS,,Bay , Gelding,PPG,455400,1,0,0,19,Bel Esprit,Swinging Feeling,Danasinga
26,AUTOPAY (A027) (Retired),NZ,,Bay , Gelding,PPG,549400,0,1,1,18,Darci Brahma,Boogie Nights,Galileo
27,THUNDER ROCKER (A028) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Dr Green,Lady Sophia,With Class
28,SUPER DUKE (A029) (Retired),AUS,,Chestnut , Gelding,PPG,29400,0,0,0,7,Duke Of Marmalade,Super Assassin,Galileo
29,INFINITY ENDEAVOUR (A030) (Retired),AUS,,Bay , Gelding,PPG,4548875,4,4,2,33,Fastnet Rock,Black Mamba,Black Minnaloushe
30,EXPONENTS (A031),AUS,6,Chestnut , Gelding,PPG,2012550,2,5,3,35,Foxwedge,Sunday Service,Sunday Silence
31,RICH REGIMENT (A032) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Star Witness,Dasoudi,Elusive City
32,G'DAY MATE (A033) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Strategic,Countess Creed,Viscount
33,FURLONG DRAGON (A034) (Retired),AUS,,Bay ,,PPG,0,0,0,0,7,Tycoon Ruler,Akordat,Danasinga
34,AS YOU WISH (A035) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Written Tycoon,Manaslu,Al Maher
35,ELUSIVE STATE (A036),AUS,6,Bay , Gelding,PP,7690950,8,3,2,35,All American,Jarada,Redoute's Choice
36,BIG FLASH (A037) (Retired),NZ,,Bay , Gelding,PP,845975,1,0,1,5,Darci Brahma,Shi Kin Fly,Shinko King
37,HERE WE COME (A038) (Retired),AUS,,Bay , Mare,PP,0,0,0,0,2,Exceed And Excel,Heptonstall,Octagonal
38,MORETHANLUCKY (A039),NZ,6,Bay , Gelding,PP,7230125,5,3,2,33,Per Incanto,Viking Angel,Viking Ruler
39,JADE THEATRE (A040),AUS,6,Bay , Gelding,PP,3216400,3,1,1,35,Pluck,Miguelita,Danehill
40,CIRCUIT HASSLER (A041),NZ,7,Bay , Gelding,PP,3968050,1,4,6,47,Shocking,Zaquabeel,Zabeel
41,SWISS WARRIOR (A042) (Retired),NZ,,Chestnut , Gelding,PP,142025,0,0,1,4,Swiss Ace,Poetic Music,Stravinsky
42,BEST CONFIDENCE (A043) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Any Suggestion,It's My Destiny,Magic Ring
43,DOCTORS DELIGHT (A044),NZ,7,Bay , Gelding,PPG,1580775,2,2,2,26,Casino Prince,Miraflores,Johar
44,LUCKY TIME (A045) (Retired),NZ,,Bay , Gelding,PPG,2629900,3,3,1,25,Castledale,Gulfstream,Yachtie
45,M REBORN (A046) (Retired),NZ,,Bay , Gelding,PPG,627900,1,1,0,15,Darci Brahma,Casual Chick,Casual Lies
46,BEEKELY (A047) (Retired),NZ,,Bay , Gelding,PPG,371400,0,1,1,10,Darci Brahma,Fairy Lights,Fairy King
47,PERFECT TOUCH (A048) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,4,Darci Brahma,Miraflores,Johar
48,PLANET STAR (A049) (Retired),AUS,,Brown , Gelding,PPG,4733460,4,6,4,33,Denman,Tell Someone,O'Reilly
49,REGENCY BO BO (A050),NZ,6,Bay , Gelding,PPG,7854775,5,9,5,42,Denman,Tsukioka,Flying Spur
50,PREMIERE (A051) (Retired),NZ,,Bay , Gelding,PPG,8857610,7,3,0,19,Dylan Thomas,More Than Sum,More Than Ready
51,GOOD COMPANION (A052) (Retired),AUS,,Bay , Gelding,PPG,3047900,4,1,3,34,Exceed And Excel,Dyna Slam,Grand Slam
52,CORRE RAPIDO (A053),NZ,7,Bay , Gelding,PPG,1630325,2,2,3,33,Iffraaj,Charangas,Flying Spur
53,ELUSIVE RAIN (A054) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Manhattan Rain,Alexandrova,Snitzel
54,MONEY WINNER (A055),NZ,7,Grey , Gelding,PPG,1784085,1,5,1,38,Mastercraftsman,Just A Dream,Volksraad
55,MR ORIOLE (A056) (Deregistered),NZ,,Bay , Gelding,PPG,184800,0,1,0,3,Nadeem,Loose Lill,Towkay
56,VITAL SPRING (A057),NZ,7,Bay , Gelding,PPG,2380960,2,5,1,32,Per Incanto,Vital Choice,Stratum
57,GREAT PINS (A058) (Retired),NZ,,Bay , Gelding,PPG,0,0,0,0,0,Pins,Somethymesoon,Postponed
58,REGENCY HONEY (A059) (Retired),NZ,,Bay , Gelding,PPG,1102650,2,2,1,25,Rios,Bella Boyd,Star Way
59,BOTH GENERAL (A060) (Retired),NZ,,Brown , Gelding,PPG,0,0,0,0,0,Savabeel,Cat Shmea,Felix The Cat
60,RATTAN (A061),NZ,6,Brown , Gelding,PPG,17576800,7,7,1,28,Savabeel,Grand Princess,Last Tycoon
61,TOP STRIKE (A062) (Retired),NZ,,Bay , Gelding,PPG,101200,0,0,1,6,Swiss Ace,Beaver Cove,Mossman
62,TORNEY (A063) (Retired),NZ,,Chestnut , Gelding,PPG,461350,0,2,0,17,Thorn Park,Driving Rein,Volksraad
63,HEALTHY LUCK (A064),AUS,6,Bay , Gelding,PPG,4481300,3,5,6,35,Written Tycoon,Schapelle,Lion Hunter
64,SANGRIA (A065),SPA,7,Bay , Gelding,PP,2289255,1,3,4,39,American Post,Noozhah,Singspiel
65,TIME WARP (A066),GB,7,Chestnut , Gelding,PP,39121550,7,3,4,34,Archipenko,Here To Eternity,Stormy Atlantic
66,TANG FLEMING (A067) (Deregistered),GB,,Bay , Gelding,PP,2340050,1,4,3,35,Makfi,High Cross,Cape Cross
67,HIGH ENERGY (A068) (Retired),USA,,Bay , Gelding,PPG,184800,0,1,0,6,Distorted Humor,Argyle Pink,Sky Mesa
68,BEST GIFT (A069) (Retired),GB,,Brown , Gelding,PPG,55200,0,0,0,12,Iffraaj,Classic Vision,Classic Cliche
69,TELECOM SUN (A070) (Retired),GB,,Bay , Gelding,PPG,28700,0,0,0,7,Sayif,Ellway Queen,Bahri
70,FLYING QUEST (A071),NZ,7,Bay , Gelding,PP,5956570,6,1,3,40,Alamosa,Enchant,Pentire
71,LUCKY WAN FENG (A072) (Retired),NZ,,Bay , Gelding,PP,1473000,2,0,0,11,Darci Brahma,Anca,Howbaddouwantit
72,SUPREME PRIDE (A073) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,1,Domesday,Warm Smytzer,Zabeel
73,WINNING VANGOGH (A074) (Retired),NZ,,Bay , Gelding,PP,1198650,0,4,0,11,Swiss Ace,Goldie Thorn,Thorn Park
74,WINNING CONTROLLER (A075),AUS,6,Bay , Gelding,PPG,2236920,3,3,1,32,Choisir,A Class Act,Brief Truce
75,UP TO YOU (A076) (Retired),AUS,,Brown , Gelding,PPG,0,0,0,0,1,Commands,Kennilworth,Viscount
76,KIWI SUNRISE (A077) (Retired),NZ,,Bay , Gelding,PPG,132000,0,0,1,9,Darci Brahma,Diamond Deck,Octagonal
77,HAPPY SEA DRAGON (A078) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,4,Domesday,True Charm,Thunder Gulch
78,FANTASTIC EIGHT (A079) (Retired),AUS,,Bay , Gelding,PPG,4507100,3,7,2,24,Duporth,Delorosa,Show A Heart
79,BINARY HEDGE (A080) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Encosta de Lago,Quiet Life,Sunday Silence
80,INDIGENOUS STAR (A081),AUS,6,Bay , Gelding,PPG,3154205,4,2,7,41,Exceed And Excel,Nandi,Dynaformer
81,WHISTLE UP (A082),NZ,6,Bay , Gelding,PPG,741375,0,2,4,27,No Excuse Needed,Kathy O'Reilly,O'Reilly
82,CURLING LUXURY (A083),NZ,7,Bay , Gelding,PPG,3918175,6,2,4,55,O'Reilly,Former Glory,Dynaformer
83,GENERAL O'REILLY (A084) (Retired),NZ,,Bay , Gelding,PPG,23100,0,0,0,15,O'Reilly,Neversaynever,Howbaddouwantit
84,CELEBRATION (A085) (Retired),NZ,,Bay , Gelding,PPG,503250,0,2,1,26,O'Reilly,One Love,Danasinga
85,CITY LEGEND (A086),NZ,6,Bay , Gelding,PPG,2252380,0,9,3,27,Red Giant,Show Exhibit,Danehill
86,GODSPEED (A087) (Retired),NZ,,Brown , Gelding,PPG,1150005,1,2,1,23,Savabeel,I Que,O'Reilly
87,SAM'S LOVE (A088),AUS,6,Bay , Gelding,PPG,2693020,2,4,5,30,Smart Missile,Dashie Diva,Dash For Cash
88,GLORIOUS PARTNERS (A089) (Retired),AUS,,Bay , Gelding,PP,74100,0,0,0,9,Artie Schiller,Rockellen,Rancho Ruler
89,WESTERN EXPRESS (A090) (Retired),AUS,,Chestnut , Gelding,PP,16646760,5,3,1,20,Encosta de Lago,Alsatia,Marauding
90,RODRICO (A091) (Retired),AUS,,Bay , Gelding,PP,105000,0,0,0,8,High Chaparral,Truly A Beauty,Seeking The Gold
91,ROMAN ODYSSEY (A092),AUS,8,Bay , Gelding,PP,1702450,1,3,5,29,Holy Roman Emperor,Rule The Waves,King's Best
92,EAGLE WAY (A093),AUS,7,Chestnut , Gelding,PP,20730000,4,3,6,37,More Than Ready,Wedgetail Eagle,Lure
93,PRIMERO (A094) (Retired),AUS,,Brown , Gelding,PP,504350,0,0,2,19,Northern Meteor,Feelers,Quest For Fame
94,GREEN ENERGY (A095) (Retired),NZ,,Bay , Gelding,PP,3914525,3,3,1,16,Rip Van Winkle,Medrano,General Nediym
95,WHOOP WHOOP (A096) (Retired),NZ,,Bay , Gelding,PP,43225,0,0,0,5,Savabeel,Beyond,Centaine
96,KING MORTAR (A097) (Retired),AUS,,Chestnut , Gelding,PP,1794925,1,3,2,35,Street Boss,Whisper Her Name,French Deputy
97,MONGOLIAN KING (A098),NZ,7,Bay , Gelding,PP,6440825,3,6,3,34,Sufficient,Albacora,Lord Ballina
98,DELIGHT EXPRESS (A099) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,8,Tavistock,Wahaha,Stravinsky
99,SUPER WISE (A100) (Retired),AUS,,Bay , Gelding,PP,4383175,3,3,6,33,Zoffany,Folichonne,Denon
100,GOBI STORM (A101) (Retired),AUS,,Bay , Gelding,PPG,610125,0,3,0,29,Artie Schiller,Pyrotechnics,Canny Lad
101,BRAVO WATCHMAN (A102) (Retired),AUS,,Bay , Gelding,PPG,4283250,4,3,3,12,Congrats,Secover,Danehill
102,COLOURFUL WORLD (A103) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Encosta de Lago,You Can't Say That,Fusaichi Pegasus
103,TOURBILLON KING (A104) (Deregistered),AUS,,Bay , Gelding,PPG,420800,0,1,2,10,Not A Single Doubt,Arthur's Lass,Unduplicated
104,TRIUMPH (A105) (Retired),AUS,,Chestnut , Gelding,PPG,24150,0,0,0,14,Sepoy,Dakota Sue,Pollard's Vision
105,MAGICAL CHAMPION (A106) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,11,Sepoy,Dance On Air,Perugino
106,PADDINGTON (A107) (Retired),AUS,,Bay , Gelding,PPG,749850,0,2,3,26,Wanted,Emma Princess,Invincible Spirit
107,GEORGE PATTON (A108) (Retired),USA,,Grey , Colt,PP,0,0,0,0,0,War Front,Photograph,Unbridled's Song
108,GOLD LAND (A109) (Retired),GB,,Bay , Gelding,PP,1542200,2,0,0,27,Danehill Dancer,Alchemilla,Dubai Destination
109,EXPERTO CREDE (A110) (Retired),IRE,,Bay , Gelding,PP,3455320,3,4,4,31,Exceed And Excel,Shepherdia,Pivotal
110,ISTANBUL BEY (A111) (Retired),GB,,Grey , Gelding,PP,101200,0,0,1,16,Exceed And Excel,Starfala,Galileo
111,GOLD MOUNT (A112) (Retired),GB,,Bay , Gelding,PP,15189147,3,3,2,19,Excellent Art,Dolcetto,Danehill Dancer
112,BOOMING DELIGHT (A113) (Retired),IRE,,Bay , Gelding,PP,8016625,4,5,2,15,Fastnet Rock,Starship,Galileo
113,CALIFORNIA WHIP (A114),USA,7,Chestnut , Gelding,PP,10574925,4,8,6,44,Giant's Causeway,Canterbury Lace,Danehill
114,LIMITLESS (A115) (Retired),IRE,,Bay , Gelding,PP,4184200,2,2,1,25,Lope de Vega,Portelet,Night Shift
115,AGREE (A116) (Deregistered),IRE,,Bay , Gelding,PP,3199700,4,1,0,23,Zebedee,Refuse To Give Up,Refuse To Bend
116,CALIFORNIA ASPAR (A117) (Retired),IRE,,Bay , Gelding,PP,1179875,1,2,1,19,Holy Roman Emperor,Lisa Gherardini,Barathea
117,BULLISH GLORY (A118),IRE,7,Chestnut , Gelding,PP,1724365,1,3,2,35,Roderic O'Connor,Biz Bar,Tobougg
118,NASSA (A119) (Retired),SAF,,Bay , Gelding,PP,2336250,1,0,1,7,Dynasty,Cosima Liszt,Rich Man's Gold
119,WINWIN RUBY (A120) (Deregistered),NZ,,Bay , Gelding,PP,1464850,1,2,0,24,Pluck,Spirit Of Karlu,Dubawi
120,COMPASSION STAR (A121),NZ,6,Bay , Gelding,PPG,2825170,4,2,2,31,Bullbars,Tricilo,Sandtrap
121,DYNAMIC LIONS (A122) (Retired),NZ,,Bay , Gelding,PPG,280200,0,0,3,19,Coats Choice,Drizzle,Ski Captain
122,HURRICANE HUNTER (A123),NZ,6,Bay , Gelding,PPG,1728270,2,1,5,29,Darci Brahma,Leigh Valley,Bianconi
123,KEEP MOVING (A124) (Retired),NZ,,Bay , Gelding,PPG,3501000,5,1,0,18,Darci Brahma,Miss Raggedy Ann,Faltaat
124,ENJOY LIFE (A125),NZ,6,Bay , Gelding,PPG,3813245,3,6,5,45,Falkirk,Sorbello,Golan
125,JOY AND MIGHTY (A126) (Retired),AUS,,Chestnut , Gelding,PPG,0,0,0,0,0,New Approach,Spirit Of South,Giant's Causeway
126,SACRED IBIS (A127),NZ,6,Bay , Gelding,PPG,3565625,4,2,2,21,O'Reilly,Flutter,Savabeel
127,PHANTOM FALCON (A128) (Retired),NZ,,Bay , Gelding,PPG,2903250,2,5,2,19,Swiss Ace,River Nymph,Captain Rio
128,HELENE CHARISMA (A129),FR,7,Bay , Gelding,PP,7082500,3,2,6,42,Air Chief Marshal,Lidana,King's Best
129,ALCAZAR (A131) (Retired),GB,,Bay , Gelding,PP,363400,0,1,2,18,Rio de La Plata,Zarkiyna,Sendawar
130,ENCOUNTER (A132) (Retired),IRE,,Chestnut , Gelding,PP,105000,0,0,0,4,Zoffany,Attalea,Monsun
131,INDIGENOUS UNION (A133) (Retired),IRE,,Bay , Gelding,PP,142025,0,0,1,5,Teofilo,Hairicin,Hurricane Run
132,SUPER CHIC (A134) (Retired),IRE,,Grey , Gelding,PP,5543000,4,2,2,25,Strategic Prince,Eroica,Highest Honor
133,PRETTY BAUHINIA (A135),AUS,7,Brown , Gelding,PP,3434520,3,2,2,37,Danzero,Li'l Miss Hayley,Savabeel
134,WHAT ELSE BUT YOU (A136) (Retired),AUS,,Bay , Gelding,PP,8828575,6,3,0,17,Duporth,Fortune Princess,Danehill
135,STARLIT KNIGHT (A137),AUS,7,Bay , Gelding,PP,2964680,3,5,2,49,Fath,Jeunes Knight,Jeune
136,HIGH SPIRIT (A138) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,9,High Chaparral,Azumi,Encosta de Lago
137,INTREPIC (A139) (Deregistered),AUS,,Brown , Gelding,PP,2450300,2,2,3,31,Medaglia d'Oro,Across The Moon,Stratum
138,LET'S TAKE IT EASY (A140),AUS,6,Chestnut , Gelding,PP,4443538,4,3,3,44,Street Boss,Vogue Beauty,Arena
139,PERFECT LIFELINE (A141) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,4,Zabeel,Danehill Princess,Danehill
140,EXCEPTIONAL DESIRE (A142),NZ,6,Bay , Gelding,PPG,3490860,4,3,3,35,Darci Brahma,Grace And Eva,Stravinsky
141,GOOD HEART (A143) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Hinchinbrook,Moulin Lady,Reset
142,SCARBOROUGH FAIR (A144) (Retired),AUS,,Bay , Gelding,PPG,724950,0,3,0,23,Oamaru Force,Curzon Dancer,Danehill Dancer
143,EMPIRE STAR (A145) (Retired),AUS,,Brown , Gelding,PPG,2388600,1,5,6,26,Skilled,Oh What A Song,Octagonal
144,CONTRIBUTION (A146) (Retired),NZ,,Bay , Gelding,PPG,2273000,3,2,2,25,Street Cry,La Sizeranne,Stravinsky
145,THE JUDGE (A147) (Retired),NZ,,Grey , Gelding,PP,2706600,3,3,0,30,Align,Annalee,Kingdom Bay
146,MEGA HEART (A148),AUS,7,Bay , Gelding,PP,4007700,3,4,1,26,Foreplay,The Baroness,Viscount
147,ROCKY MALONE (A149) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,1,Swiss Ace,More Assertive,Zeditave
148,BEST STEP (A150) (Retired),NZ,,Bay , Gelding,PPG,2289150,3,1,0,15,Cecconi,Volique,Volksraad
149,JOYFUL FOREVER (A151) (Retired),NZ,,Chestnut , Gelding,PPG,65550,0,0,0,17,Per Incanto,Bois de Boulogne,Peintre Celebre
150,SUCH A HAPPINESS (A152),NZ,6,Bay , Gelding,PPG,2644680,3,3,1,25,Savabeel,Kim Possible,Volksraad
151,REAL DEAL (A153) (Retired),AUS,,Bay , Gelding,PPG,115500,0,0,1,11,Smart Missile,Zabelka,Zabeel
152,DR WIN WIN (A154) (Retired),IRE,,Bay , Gelding,PP,2134900,2,2,0,14,Makfi,Baine,Country Reel
153,FULL GLAMOUR (A155) (Retired),FR,,Bay , Gelding,PP,288200,0,1,0,7,Scalo,Indyca,Panis
154,SMART DRAGON (A156) (Retired),ITY,,Bay , Gelding,PP,0,0,0,0,0,Storm Mountain,Certosa Di Pavia,Haafhd
155,BIG TIME BABY (A157),IRE,6,Bay , Gelding,PP,12740050,5,4,3,28,Dandy Man,Royal Majestic,Tobougg
156,PACKING STONES (A158) (Deregistered),IRE,,Brown , Gelding,PP,142025,0,0,1,4,Requinto,Positive Step,Footstepsinthesand
157,BEAUTY WAY (A159) (Retired),GB,,Bay , Gelding,PP,807950,1,0,0,5,Shamardal,Gradara,Montjeu
158,SMART BABY (A160) (Retired),IRE,,Bay , Gelding,PP,1883650,3,1,1,27,Shamardal,Marine City,Carnegie
159,RED ROSE WARRIOR (A161) (Retired),USA,,Bay , Gelding,PP,0,0,0,0,5,War Chant,Rose Red,Fashion Find
160,GAMECHANGERS (A162) (Retired),IRE,,Bay , Gelding,PP,2630625,1,4,3,21,Canford Cliffs,Awjila,Oasis Dream
161,DOUBLE VALENTINE (A163) (Retired),USA,,Grey , Gelding,PP,2099300,1,2,2,26,Exchange Rate,Ruby's Realm,Empire Maker
162,RIGHT HONOURABLE (A164),IRE,6,Bay , Gelding,PP,2573265,3,1,2,33,Famous Name,Agnetha,Big Shuffle
163,FAST MOST FURIOUS (A165),IRE,7,Chestnut , Gelding,PP,7994950,4,5,4,27,Lope de Vega,Al Basar,Sahm
164,KING FLASH (A166) (Retired),GB,,Chestnut , Gelding,PPG,0,0,0,0,0,Nathaniel,Castaway Queen,Selkirk
165,PADDINGTON EXPRESS (A167) (Retired),IRE,,Bay , Gelding,PPG,0,0,0,0,0,Kodiac,Inter Madera,Toca Madera
166,CHUNG WAH SPIRIT (A168),AUS,6,Bay , Gelding,PP,3747125,3,4,2,42,Dash For Cash,Letter From France,Exceed And Excel
167,CELESTIAL ARROW (A169) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,16,Red Arrow,Song Dynasty,Unbridled's Song
168,MAGIC LEGEND (A170),AUS,6,Bay , Gelding,PP,7619050,5,1,5,41,Red Element,Trail Of Secrets,Secret Savings
169,STAR OF JOY (A171) (Retired),AUS,,Bay , Gelding,PP,2810275,1,2,6,21,Snitzel,At Ease,Canny Lad
170,RULE THEE (A172),NZ,7,Bay , Gelding,PP,3371775,3,1,4,37,Tavistock,Dantessa,Danasinga
171,TOP LAURELS (A173) (Retired),AUS,,Bay , Gelding,PP,1940175,1,2,2,21,War Chant,Innsbruck,Commands
172,MASTER BERNINI (A174) (Retired),AUS,,Bay , Gelding,PPG,1013600,0,4,1,25,Bernardini,Montaza,Choisir
173,HAPPY CHOICE (A175) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Denman,Flawless Choice,Redoute's Choice
174,SOCCER CHIEF (A176) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Excites,Bellalicious,Mossman
175,ENCORE BOY (A177),AUS,6,Bay , Gelding,PPG,6684850,5,5,7,32,Smart Missile,Miss Bellezza,Flying Spur
176,RELENTLESS ME (A178),AUS,6,Bay , Gelding,PPG,5210320,6,4,3,33,Statue Of Liberty,Snow Flight,Colombia
177,GRACIOUS RYDER (A179),AUS,6,Bay , Gelding,PPG,2773405,3,4,2,28,Tickets,Fleur de Lion,Tale Of The Cat
178,SO FANNY (A180) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Zoffany,Sonar,Commands
179,A SHIN HOOF (A181) (Retired),JPN,,Chestnut , Gelding,PPG,94300,0,0,1,4,A Shin Forward,A Shin Cool D,Distorted Humor
180,COLOURFUL ACHIEVER (A182) (Retired),AUS,,Bay , Gelding,PP,0,0,0,0,8,Fastnet Rock,Paint By Numbers,Peintre Celebre
181,BULB ELITE (A183),NZ,6,Grey , Gelding,PP,1565280,1,2,2,29,Iffraaj,Miranda Miss,Reset
182,WINNER DON'T MISS (A184) (Retired),NZ,,Bay , Gelding,PP,0,0,0,0,3,Roc de Cambes,Lim's Rainbow,Rory's Jester
183,OHANA (A185) (Retired),NZ,,Bay , Gelding,PP,52800,0,0,0,14,Thewayyouare,Bellona,Volksraad
184,MI BLANCO (A186) (Retired),NZ,,Bay , Gelding,PPG,1529725,1,4,4,31,Cape Blanco,Mi Centie,Centaine
185,SONIC FIGHTER (A187),NZ,6,Bay , Gelding,PPG,2847270,3,3,1,27,Castledale,Indy Star,Indian Danehill
186,CHEERFULJET (A188) (Retired),NZ,,Bay , Gelding,PPG,4009300,4,3,2,22,Darci Brahma,Bright Abyss,Royal Academy
187,ELECTRIC LIGHTNING (A189),AUS,6,Bay , Gelding,PPG,3229735,4,3,3,39,Not A Single Doubt,Plain Crazy,Bite The Bullet
188,VIVA COUNCIL (A190),NZ,6,Bay , Gelding,PPG,4263055,5,6,2,48,O'Reilly,Holiday In Goa,Stravinsky
189,THE INVINCIBLE (A191) (Retired),NZ,,Bay , Gelding,PPG,193500,0,1,0,17,Rip Van Winkle,Electrostatic,Elnadim
190,OWNERS' PRESTIGE (A192) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,2,Testa Rossa,Exceedingly Regal,Exceed And Excel
191,GENERAL DINO (A193),FR,6,Bay , Gelding,PP,3064200,3,3,4,39,Doctor Dino,Arthurs Princess,Monashee Mountain
192,THE GOLDEN AGE (A194) (Retired),FR,,Chestnut , Gelding,PP,7694750,3,1,2,12,My Risk,Sikkim,Linamix
193,LOADED (A195) (Retired),IRE,,Bay , Gelding,PP,138600,0,0,1,18,Kodiac,Fikrah,Medicean
194,SIR REDALOT (A196) (Retired),IRE,,Bay , Gelding,PP,2467550,2,2,1,22,Sir Prancealot,Spring Crocus,Noverre
195,OPEN HOUSE (A197) (Retired),IRE,,Bay , Gelding,PP,455550,0,2,1,21,Vocalised,Christinas Letter,Galileo
196,RIVERSIDE BIRD (A198) (Retired),IRE,,Bay , Gelding,PPG,176300,0,0,0,10,Approve,Anything,Rock Of Gibraltar
197,LUCKY REIGN (A199) (Retired),IRE,,Bay , Gelding,PPG,28700,0,0,0,2,Holy Roman Emperor,Prayers For Rain,Darshaan
198,LUCKY MASTER (A200) (Retired),IRE,,Bay , Gelding,PPG,856900,1,2,0,16,Holy Roman Emperor,Taking Liberties,Royal Academy
199,MISTER MONTE (A201),AUS,6,Chestnut , Gelding,PP,3245365,3,4,2,44,Hussonet,Grantsville,Trempolino
200,AMAZING (A202),AUS,6,Bay , Gelding,PP,2054335,1,3,2,25,Medaglia d'Oro,Pouter,Dubawi
201,HO HO HORSE (A203) (Deregistered),AUS,,Bay , Gelding,PP,74100,0,0,0,5,Snitzel,She Must Be Obeyed,Commands
